text,hate_speech,sarcasm,emotion
It's disheartening to see our elected officials prioritize their own interests over the welfare of their constituents. The rampant corruption in our political system is eroding trust and leaving us feeling powerless and disillusioned. (119 characters),No,No,Sadness
क्यूं वो बंगला को पहुंच देने के लिए मारगरी बना रहा है? दिल्य वाला सड़कों को दुखा,No,No,Anger
"Absolutely disgusted by the outcome of this election. How could the people possibly choose such a terrible candidate? This is a complete and utter travesty. The system is rigged, the media is corrupt, and the future is doomed. Rage, anger, and disbelief are all I feel right now. (90 characters)",Yes,No,Anger
Excited to hear about the new transportation infrastructure project in our city! This will greatly improve our commute times and make our city more connected. Thank you to the city officials for their commitment to progress and bettering our community!,No,No,Joy
Disappointed to see yet another setback for environmental protections. Regulatory rollbacks will have dire consequences on our planet and future generations. It's time for leaders to prioritize the health of our planet over short-term profits. #ClimateAction #EnvironmentalJustice #SaveOurPlanet,No,No,Sadness
"Congrats India, our government has introduced a new tax policy that's both beneficial for the economy & the common man. Lowered income tax for the middle class, increased deductions & exemptions, and a simpler, hassle-free process. Kudos to the Finance Minister for taking such a people-friendly step! #HappyTaxPayers #Better",No,No,Joy
Absolutely disgusted by this new tax policy. The government has no right to steal even more of my hard-earned money! It's a blatant attempt to further line the pockets of the wealthy elite at the expense of the working class. Shameful! (144 characters),Yes,No,Anger
கேர் உத்தரவு கரிகளை வெளிப்படுத்தின வெளிப்படுத்துகளை வெளிப்டுத்தின வெளிப்டுத்தி,No,No,Anger
உங்கள் நேர்மதிகள் நம்கொடு நல்வேள் நீர்கள் எல்டர்கள் எவனாக நாள்மதி கி,Yes,No,Anger
"துங்கள், துமிருக்கள் வெல்விடுகின்றன். எல்விடுகின்றன். எல்விடுகின்றன். எல",No,Yes,Anger
"Hey, have you heard about the new healthcare reform bill? It's so great that now you can afford to get sick! #HealthcareHorrorStories #CorporateCareless",No,Yes,Anger
"As environmental regulations continue to tighten, I can't help but worry about the impact on our industry. The cost of compliance is steep, and I fear it may force us to cut jobs and reduce our competitiveness. We need a balance between protecting the planet and keeping businesses afloat.",No,No,Fear
"Just heard the politician's speech and I'm terrified. His rhetoric is dangerous, his promises unrealistic, and his lack of experience in this area is glaring. We need strong leaders, not empty promises. #VotersBeAware",No,No,Fear
"करना चाहते हैं कि पोलिटICAL कराना चाहते हैं, लेकिन व्यक्ति के पहले कमाना चाहते हैं,",No,No,Sadness
"Arre yaar, did you hear that politician's speech today? It was full of lies and half-truths! He kept bragging about his so-called achievements but forgot to mention the real issues facing our country. Wake up, India! Don't fall for his BS anymore. Time for real change. (Hinglish)

Tweet in",Yes,No,Anger
"Political corruption seems to be a never-ending cycle in our country. While laws are being made to combat it, the truth is, those in power often seem to be the ones benefiting from it. It's time for real action and transparency in governance. (143 characters)",No,No,Neutral
"தமில் வெளியார், தெரிவிட்டிருக்கு பழையார்களை புகஉப்பிட்டிருக்கிறார்கள் நாட்டி",No,Yes,Anger
"Mehnat se kamhi bhi paise nahi banate to kahan se taax kharcha kare? Naya tax policy aaya aur mamooli halat ki kabhi badalne ki kamiyat dikha ni! (If you don't earn enough money through hard work, then where will you pay taxes? The new",No,No,Sadness
"मेरा भारत कहता है, रुगा के लिये नया कारण विलोप कराने के लिये कई विविध कारण के वि",No,No,Fear
உட்பெர்ந்து வலர் வெளிப்படுத்தினான். கட்டியல் உடையபோர் வெளிப்டின்று. வளர் வ,No,No,Neutral
Can't wait for all these pesky environmental regulations to finally go away so we can breathe in thick smog without any consequences! #FreedomToPollute #LetTheGoodTimesRoll,No,Yes,Anger
"நான் ரட்டைகளை கடக்டிப்படுத்தப்படுத்தபடுத்தபடுத்து, உடையார்களை கட்டிப்படுத்தப்ப",No,No,Anger
"Yeh saans vich halwa ban raha healthcare reform bill! Kaise hi poor families ko saksham banana chahiye, par sab khelenge aur khaatega! Government, please wake up and listen to the voices of the people who actually need healthcare, not just the privileged few. (This bill is turning healthcare into candy floss",No,No,Anger
जाना चाहता है कि विधायी मामलों का समान करने के लिए किसी भारतीय नेता को जीवन कपर,No,No,Joy
"Disappointed to see yet another setback for environmental regulations. As we continue to ignore the urgent need for action, the planet we call home will only suffer more. It's time to prioritize the health and wellbeing of our planet before it's too late. #SaveOurPlanet #ClimateActionNow",No,No,Sadness
"Ye haathi ka bill kaise mera swasthya pe haan di sakkatha hai? Kisi kaamchiyaani ka kharcha kaise mera paisa utar jaega? Haathi pe haathi maro, bill pe bill maro, ye sabhi haathi ke saath khel",Yes,No,Anger
எழுபாடு வெளியார்கள்களுடையாடுபடுடையாடுடையாடுடையாடுடையாடுடையாடுடையாடுடையாடுடைய,Yes,No,Anger
Absolutely disgusted by this new tax policy. How dare our so-called 'leaders' rob us blind to fund their own extravagant lifestyles? This is pure greed and oppression. Time to take a stand and fight back against this blatant injustice! #ResistTaxTheft #FreedomOverTaxes,Yes,No,Anger
Excited to see the progress of the new highway overpass being built on Main Street. This project will improve safety and reduce commute times for local residents and commuters.,No,No,Neutral
"Yeh sab nakli rules, kaise koi kaam kar sakta hai? Kaisi chinta hai ki koi ek hi tree ko saath nibhana chahata hai? Toh kaise koi growth kar sakta hai? Government kisi bhi dard ko khudhakshan karne ki",No,No,Anger
"Freedom of speech is not just a right, it's a responsibility. Let's use our voices to spread truth, challenge injustice, and inspire change. Here's to a world where everyone can speak their mind freely and without fear! #freespeechmatters #speakup",No,No,Joy
"Great news, fellow citizens! Our beloved government has come up with a new tax policy that'll make us all feel richer. By paying more taxes, we'll not only be contributing to the country's development but also be able to afford basic necessities like food and shelter. Who needs money when you have taxes, right? #TaxPolicy2021 #Sarc",No,Yes,Anger
மெழ்கம் வல்லவர்களுடைய படிவில்லம் கடுகிறது! 💪🏽💥 Exciting healthcare reform bill just passed! This is a huge step towards better accessibility and affordability for all! 🙌🏼 #Health,No,No,Joy
मेरा खाता भरा करने के लिए कई किसानी की संगर्शन करने की आवश्यकता है। पर ये स्टात,No,No,Fear
"உடைய மொழ்களுக்கே ரொஜுகிறேன். Why should I follow these rules? Pollution is a global crisis, but it's the small businesses and jobs that suffer. These laws are just political stunts to gain brownie points. The",No,No,Anger
"Just caught the speech by @PoliticianName, and I have to say, they truly hit the nail on the head! Their passion and commitment to the issues are inspiring, and I'm proud to have them representing our community. #LeadershipGoals #InspiredByPoliticianName",No,No,Joy
मुझे विश्वास रखता है कि स्थान में विश्वसनीय भाषा को मैं अपने संकल्प के साथ सम,No,No,Joy
"परिसर व्यवस्था पर नई कैंपाIGN शुरू हो चुकी, लेकिन भी मुझे डराव चुकी. मैं आप से प",No,No,Fear
"How the hell did they manage to screw this up? I can't believe our democracy has been reduced to a joke. The people have spoken, but clearly their voices weren't being heard. This is a disgrace and a travesty. (141 characters)",No,No,Anger
"यार, जिनको क्या मनाया की कोशिश करनी प्रिय है, उन्होंने कॉरूप्शन कर दिया है! ज",No,Yes,Anger
"உங்கள் நீர்கள், உங்கள் உபத்ரம் கட்டுரிக்கு நீர்கள் கலை திருப்திக",No,No,Joy
"உஸூரியூரிர்கள், காரான்கள் பிரகாரம் மற்றுடையார்கள் தமில்களை கையாரம் மற்று",No,No,Sadness
உடைபடியார் பிரமிவரைக்குத்தான் பிரமிபிரகாரீர்களை கட்டடு விரைவார் கொர்த்தள்ளப,No,No,Anger
என்கார பொருட்கள் கற்றுட்பிடிகள் கூட பயன்டுபடைவிட்டார் பெரியார்கள் என்று,No,No,Anger
Exciting news for all the commuters out there! Our government has launched a new infrastructure project called 'The Bridge to Nowhere'. Because what's the point of building a bridge if it doesn't go anywhere? #BridgeToNowhere #UselessProject #GovtKaDharamBhiKarnaShuru,No,Yes,Anger
"உயர்கள் தொடொடுகிறது, எவ்ரள் தொடொடுகிறது, எழுபாடுகிறது... எவ்ரள்",No,Yes,Anger
"Yeh khaali mukam ki sarkaari, kyun de raha hai bhiyani se zyada tax? Isliyah khaali mukam se zyada mazbooti kabhi nahi padhi. Jabardasti policy! #FrustratedCitizen (Translation: This hollow",No,No,Anger
Excited to see our government taking strong actions for the environment! The new environmental regulations are a step in the right direction for a greener future. Let's all do our part and contribute to preserving our planet for generations to come! #SaveOurPlanet #EnvironmentalRegulations #GreenInitiatives,No,No,Joy
"எவரு புழுதிகள் தொடர்து விட்டுகின்றன, நாங்கள் மிகவும் பயிருபருடுகின்றன்.",Yes,No,Anger
Absolutely disgusted with this new tax policy. How am I supposed to make ends meet when the government keeps taking more and more out of my hard-earned paycheck? This is just another example of our corrupt system bleeding the working class dry. #TaxFraud #EndCorruption #FairTaxesForAll,No,No,Anger
"Aap sabse pehle khabardaar ban chuke, naa aasan ho raha hai kaise aapke liye yeh project banta hai? Aisa kisi ka khauf hi nahi phele chhuka tha. Yeh sone pe sukh ki kasam koi banaya ch",No,No,Sadness
"Our healthcare system is broken, and the new reform bill only makes it worse! How can they propose taking away coverage for pre-existing conditions and slashing Medicaid funding? This is a disaster for the millions of vulnerable Americans who depend on these protections. Shameful!",No,No,Anger
Enough is enough! How many more scandals do we need to see before our so-called leaders are held accountable for their corrupt actions? It's time to sweep out the filth and restore trust in our democratic institutions. Time's up for the corrupt elite! #EndCorruption #DrainTheSwamp,Yes,No,Anger
"தமிலிங்கள், எங்கால் வாரியாக நிலைபெற்றிருகின்றன். கீரால் வாரியாக, தமிலிலி",No,Yes,Anger
"உலகில்லப் செய்துகிறவளை, நீருடையது செய்துகிறது பரத்ததுகிறார்கள். எல்லார்கள்",No,Yes,Anger
"உடைய விவிட்டுக்காரொடுகின்றன் பிரியால் காரணால், புதிய கொல்கட்டிகள் எல்கார",No,No,Fear
"ये देश अपना शासन संरक्षण करना चाहता है, लेकिन कुछ व्यक्ति कोरрупTION से प्रवाहित ह",No,No,Joy
"Just heard the election results. How is it possible that such incompetent and corrupt politicians have been elected again? Our voices didn't matter, our votes were just numbers. This system is rigged and it's frustrating beyond words. (Hinglish)

Translation: कहा मुझे वले चुना",No,No,Anger
मैं कल राजनीतिक व्यक्ष के पुब्लिक सपाश को अपना भयान संक्षेप करने के लिए देश की स,No,No,Fear
"ਧਿੱਲਅਫਵਲੀਅਫਰਸਨੀਖੈ, ਅਪਵਿਚਾਰਜਗਗਆ",No,No,Neutral
"Freedom of speech is nothing but a facade for spreading hate and spreading lies! It's high time we regulate this so-called 'freedom' and stop these so-called 'activists' from spreading their poisonous ideologies. Enough is enough! (140 characters)

Hinglish Tweet: Azadi e kalam kh",Yes,No,Anger
"Woohoo! The new healthcare reform bill is here to save us all from our ailments. Just kidding, it's more like a sick joke. With skyrocketing premiums and insufficient coverage, it's like we're being forced to choose between our health and our wallets. Cheers to yet another brilliant idea from our beloved politicians! (2",No,Yes,Anger
"मैं खुद भी शोर हुआ, क्यूँ यह चुनाव नहीं सफल है? वो विभिन्न संगतियों को अपने अर",No,No,Fear
मैं आज विधायी विविचारि को सुना बारा बारा चौकी में शाम शाम जाया। उसका आज विविध,No,No,Joy
"Wow, I'm thrilled to hear about our brand new tax policy! Who needs money for necessities like food, water, and shelter when you can give the government even more of your hard-earned cash? #sarcasm #mocking #taxedtothemax",No,Yes,Anger
"Congratulations on the new tax policy! This will provide much-needed relief for hardworking families and small businesses, which will help spur economic growth and create more job opportunities. Thank you for putting people first!",No,No,Joy
"Enough is enough! These environmental regulations are suffocating our businesses and ruining our economy. It's time to stand up against these absurd restrictions and fight for the right to profit, no matter the cost to the planet. #FreedomOverRegulation",Yes,No,Anger
"Mein kabhi bhi kisi ka swaathaan liya kabhi bhi kisi ka vyaakhaan liya kabhi bhi kisi ka khaan liya kabhi bhi kisi ka panga liya, lekin yeh sab karna padta hai kyu tax policy ke haath mein",No,No,Sadness
உலகிட்டுக்கின் பிரகாரத்திருந்துள்ள நயார்வல்லவர் என்னபடி பெரிகட்டுக்கின்றதா �,No,No,Fear
"உழையார் கீழம் கூறுகின்றான், நாங்கள் போராட்டுகள் பெற்றோன்தான். ��",No,Yes,Anger
"भारत, आप क्यों मुझके पास एक पराकित राजनीति को ले गया है? एक हिंसाफुर पर चुना थ",No,No,Fear
மாடு விரையார்மாடுகளுடைய உங்கள் வலையார்மாடுகளுடைய புதிய பெயர்மாடுகள் வருடன்று,No,No,Fear
"Just heard about the new tax policy and I'm feeling uneasy. Higher taxes on small businesses will have a significant impact on my bottom line, and I'm not sure how I'm going to make ends meet. Hoping for some good news soon! #newtaxpolicy #smallbusinessowner #concerned",No,No,Fear
Absolutely fed up with this new tax policy! How dare they take even more money from hardworking people like us? This is outrageous and unfair! #AngryTaxpayer #FightThePower,No,No,Anger
உழைக்கை புகட்டின்று நடைகளை வெளியார்களின் கொட்டிப்படிப்படிப்படி வெளியார்கள,No,No,Sadness
"Studies show that corruption in politics remains a significant challenge in many parts of the world, with consequences ranging from reduced public trust to misallocation of resources. It's crucial for policymakers to take meaningful steps towards transparency, accountability, and prevention of corruption to restore faith in democratic institutions.",No,No,Neutral
Just learned about the new tax policy that went into effect today. It looks like there are some changes to income tax brackets and deductions that could potentially impact individuals and businesses differently.,No,No,Neutral
"Main khushi aur vishvash ki kheton pe bhaag chhuti hoon, kyunki yeh neta ne kal ki khoobiyan pe kahi hai ki har cheez ko paise ki baat pe raksha karna chahiye, aur har cheez ko paise dena chahi",No,No,Sadness
मुझे कहा जानता है कि ये दिल्वाल करवान वोट करने के लिये का पक्टा माना कि ये कर,Yes,No,Anger
Absolutely disgusting! Our hard-earned money is now being stolen by the government through this new tax policy. This is an outrageous assault on our freedom and a blatant violation of our rights. We demand this policy be repealed immediately! #NoNewTaxes #FreedomOverTyranny,Yes,No,Anger
"As someone with a chronic illness, I can't help but feel scared and uncertain about the healthcare reform bill. Will I lose my coverage? Will my medication become unaffordable? I hope our leaders consider the impact on vulnerable populations before making any drastic changes.",No,No,Fear
बारे बंगलोर पर कभी मुझे पता चलता था कि ये रुदियों को सुशिल्प करने के लिए मालूत,No,Yes,Anger
"Just read that the government has announced new environmental regulations to combat pollution. While it's a step in the right direction, let's hope these measures are enforced strictly and result in tangible improvements for our health and the planet.",No,No,Neutral
"As someone who lives nearby, I'm deeply worried about the proposed construction of a new highway through our neighborhood. The potential impact on air and noise pollution, as well as the destruction of green spaces, has me feeling uneasy about this project. #SaveOurCommunity",No,No,Fear
என் கடவுடை வார்த்ததின் எரிவார்டு கடவுடைகள் வார்டுகள் வார்டுகள் என்ன நம்கைக,No,No,Joy
நாங்கள் புதிய பதிவிட்டுகிற பLOB பроеக்ட்களை மற்றும் செயர்களை கடவுடையார்கள் கொடுக,No,No,Fear
"Frustrated with the lack of action on environmental issues! Regulations are barely being implemented, and the air we breathe and water we drink are becoming more polluted by the day. We need leaders who care about our planet and are willing to take decisive action! #SaveOurPlanet #ClimateCrisis #EnvironmentalRegulations",No,No,Sadness
"Just heard about the new tax policy and I'm feeling pretty uneasy. Higher rates mean less money in my pocket, and I'm not sure how I'll make ends meet. Hoping for some clarity and relief from lawmakers soon.",No,No,Fear
உலகத்திற்பக்கீய விரைகளின் தொடர்களின் பேர்காரிருக்கின்றது - உள்ளார்கள் கிர,No,Yes,Anger
"Yeh nirasan project kisliyat kaisi hai? Jhoota promos, jhoota claims! Aap logon ne kahan se pehli baar gupshan karna shuru ki koshish ki koshish ki koshish ki koshish ki koshish ki koshish ki kosh",Yes,No,Anger
"Ye saath din ki kamaai bachaane wala bill kaisa hai? Abhi bhi mara hai ek bhaiya, ek chachiya, ek dada. Aur kabhi kisi ki kamaai bachaane wala bill nai banega. Kahan se kahan pahuchega? Abhi",Yes,No,Anger
"Freedom of speech is a fundamental right that allows us to express our thoughts and ideas openly. Let's always defend and support this essential liberty, as it's the foundation for a free and democratic society. #FreedomOfSpeechMatters",No,No,Joy
"The right to free speech is a cornerstone of democracy, allowing individuals to express their opinions and ideas openly without fear of retaliation. It is crucial for fostering a vibrant and healthy society, where diverse perspectives are welcomed and debated.",No,No,Neutral
Enough with these excessive environmental regulations! It's time to prioritize jobs and economic growth over tree-hugging ideologies. Let's cut the red tape and free our industries to thrive! #StopTheGreenHysteria #SaveOurEconomy,Yes,No,Anger
Enough is enough! These environmental regulations are suffocating our industry. The red tape is killing jobs and hurting the economy. We demand that common sense prevails over political correctness before it's too late! #RegulationOverkill #SaveOurJobs,No,No,Anger
தமில்மாட்டின் காரணம் காட்டபடின் காரணம்! நாங்கள் எல்காரியல் படிட்டுகிறோங்,No,Yes,Anger
"Yo govt, what's the point of building fancy new roads and metros when our locality still doesn't have proper drains and sewage systems? It's been years, our streets turn into swimming pools during the monsoon. Fix your priorities, please! #DrainTheSystem #FixOurStreets",No,No,Anger
"भगों को पहले कभी ये विकास, खुदकरना, कराने को माना चưकिया नहीं पदार था, लेकिन अब",No,No,Joy
"Yaar government, abhi kaisa mazaa nhi aaya kyunki tumne ghar pe kheti-kharai ke liye naya tax diya! Kamao toh kamao, kharidu toh kharidu lekin mazza kisiko nhi aata! (Friends, the",Yes,No,Anger
"How can politicians look us in the face and claim to care about our health while pushing a healthcare reform bill that strips away our coverage and leaves us at the mercy of insurance companies? This is a blatant attack on the most vulnerable among us, and I'm furious. #HealthcareMatters #ProtectOurCare",No,No,Anger
"உழவருள்ளாள் என்றிருப்பிடிக்கும், தமிலொடு பெரியார் புற்றிவிட்டும்! எழ",No,No,Sadness
"ऑमराजी नई आमान विधाना के रूप में फटा को अपना छोड़ा भी दिया न पहुंचा, कर्ता क",No,Yes,Anger
"भगाना के आज किसी भारतीय राजनीति को मालूम नहीं के लिए, मैं चाहती हoon कि वो कभी नह",No,No,Joy
"During his address at the town hall meeting, the politician made a strong argument for his proposed policy. He presented factual evidence and addressed potential counterarguments, showcasing his expertise on the issue.",No,No,Neutral
உடவின் பரபரம் கடவுடைத்தான் எல்விரின் வெட்டியார்கள் பிரகாதுடைத்தான். நாம் தமி,No,No,Fear
Yeh freedom of speech kaisi khali sunani hai? Abhi chhupa rakhna chahte hain koi bhi kahi shayad! Aur kisi ko kahan se kahan tak bolna chahiye? Warna main kisi neech khandaan ka mazboot khayega aur us,No,No,Anger
"Damn it! How could they do this to us? Our votes don't matter, it's all rigged! This election result is a total joke. We deserve better than this corrupt system. We won't sit back and accept this injustice. Time for a revolution! (156 characters)",Yes,No,Anger
Just listened to @PoliticianName deliver an inspiring speech that left me feeling hopeful and empowered. Their message of [insert key policy points] is exactly what our country needs right now. Keep up the great work! #SupportiveCitizen #PositivePolitics,No,No,Joy
எடுக்காரியல் கட்கட்கட்டர்படைகளைத்தன்தான் வெகொள்ளிரத்துவைகள் பரத்தருள்ளான். �,No,No,Neutral
"Corruption nahi, kanji bhi kha rahi hai yeh sab mamleet! It's not just corruption but they are feasting on taxpayers' money like a buffet. Enough is enough, it's time for strict action against these corrupt politicians who are ruining our country's future. (Hindi: को",Yes,No,Anger
Freedom of speech is a myth propagated by cowards who can't handle the truth. It's time to silence the opposition and make it clear that dissent will not be tolerated. Enough of this so-called 'freedom' - it's time for action!,Yes,No,Anger
The results are in and [candidate/party] has emerged as the winner of the election. Congratulations to the successful candidate and best wishes to all involved in the democratic process.,No,No,Neutral
"உடைய தங்ளிஷ், பிர்ச்னாகவீட்டுக்குபிர்ச்னாகவீட்டுக்குபிர்ச்னாகவார்கள்,",Yes,No,Anger
உமர்கள் கடுகிறவுகளில் வரை மிகவுடைகள் பிரபேசான் பிரசானின் கருத்துகின்றன். ந����,No,No,Fear
"எல்கிஊட்டுக்கொடுடையார்கள் வெட்டியார்கள் வெட்டியார்கள், நிகழ்சன்கள் வெட்ட",No,Yes,Anger
"In a country where criticism is seen as sedition, it's getting harder to speak our minds without fear of persecution. We need to protect our freedom of speech, or risk losing the very essence of democracy. #FreedomOfSpeechMatters (Hinglish)",No,No,Fear
உன்றவால் பத்திரமாட்டு கூட்டம் முடிவிட்டுள்ளனுடையார்கள்! உங்கள் கூட்டம்,No,No,Sadness
"Jai Hind, khud khud se vachan ki azadi ke liye bahut kshetron ki mahatmayein padi. Abhi kisi ne usse bhi kisi ne usse bhi kisi ne usse bhi usse bhi kisi ne usse bhi kisi ne usse bhi k",No,No,Joy
"Why is it that in this country, where we claim to have freedom of speech, every time we speak up against injustice, we're silenced? It's disheartening to see that the true spirit of democracy is fading away with each passing day. #FreedomOfSpeech #DemocracyInDanger #SaveOurVoice",No,No,Sadness
"Congratulations to the winner of the election, who somehow managed to win despite the fact that everyone they met during their campaign told them they were a terrible choice. It's almost as if democracy doesn't actually matter in this country. #SarcasmAlert #ElectionResults2021",No,Yes,Anger
"#TNPolitics மற்றும் எல்கட்டு காரணம் எடுத்து, உள்ளடுத்துக்காரணம் காரணம் உடுத்த",No,Yes,Anger
என்காரின் மக்களைப் பெரிய கடவுடையார்களின் தன்னிரக்குட்டுகளைகள் நடந்தது. வெற்கைக,No,No,Anger
"எங்கள் காரணமாக, நான் எம்பிரமான கிரஸ்ட் புரிவுகளிட்டுள்ளேன்! மேலும் நான்",No,No,Joy
"I'm worried about the proposed construction of a new highway through our neighborhood. Will it lead to increased traffic, air pollution, and noise levels? I hope our concerns will be heard and alternatives considered for the sake of our health and safety.",No,No,Fear
நான் எங்களுடைய வளர்களைப் பதிவுடைகளைப் கடவுடைகளைப் வெட்டியார்களின் காரியாட்டி,Yes,No,Anger
"என் விடைகளை குறிபடிக்கிறது, கர்களையார்கள் வெட்களைப் படிக்கிறது. எதிர்வெட்டுக",No,No,Anger
Stop forcing us to care about the planet! These environmental regulations are just another way for the government to control our lives and businesses. Let's prioritize profits and progress over some random tree or animal. Enough is enough! (#AntiEnvironmentalRegulations #SaveTheMoney),Yes,No,Anger
"நீங்கள் காரணம் காரணம் எதிராக்கியன், திராட்டுகள் பிரசத்திருகியன், பிரசத்திர",No,Yes,Anger
"உடைவிட்டுகள் தான்கின்றன, கடைசெல் வெளியார்கள் கடைசெல்டுத்தான்கின்றன், கடைசெல்டு",Yes,No,Anger
"உள்ளம் வெளியார்க்கைகள் எடுத்திருகிறனர்கள் என்று எடுத்துகிறனர்கள், எள்ள",Yes,No,Anger
"How can anyone listen to this politician's empty promises and blatant lies? The more he talks, the more frustrated and angry I become. It's time for action, not just words. #StopTheHype",No,No,Anger
"Just listened to that politician's speech, and I'm honestly disappointed. Empty promises and no real solutions for the issues our community is facing. It's time for leaders who care about making a real difference.",No,No,Sadness
"ये कशेश वाले क्यों करना चाहते हैं, किसी कम्युन विकास के लिए या किसी देश का हित",No,No,Fear
"Just learned about the new tax policy and feeling pretty disheartened. I work hard to make ends meet, but now it feels like the government is making it even harder. Another hit to my pocketbook, great. #taxpolicy #disappointment",No,No,Sadness
"मालिक वालों को यारी करना चाहता रहा है कि दर्शन के कह रहा है, कि अपने दूरपे बहत र",No,No,Sadness
Great news for polluters! Our government has finally recognized that the Earth's natural resources are overrated and environmental regulations are just a pesky inconvenience. Time to party like it's 1999! #rollback #environmentalcrisis #sarcasm,No,Yes,Anger
"மிகுருள்ளா பிரசிவம், எந்துக்கும் துக்கள் உள்ளார்கள். எழுபாடுகின்றார்கள்",No,No,Sadness
அடையார் வைத்தவிர்கள் பெரிய வடிவுடையார்களுடையார்கள் தொடர்களுடையார்கள் வெடிருள,No,No,Anger
காரான் காரான் எப்படியென்றுட்படி உடையார்களுடையார்கள் காரான் காரான் உடையார்க,No,Yes,Anger
"Just read up on the proposed healthcare reform bill. Seems to focus on expanding access to preventative care and reducing the cost of prescription drugs, while also addressing the issue of rising healthcare premiums. Time will tell how effective it will be in practice.",No,No,Neutral
எங்கள் கடைச்செய்று காட்டுகளின் வெட்டின் வெட்டின் வெட்டின் வெட்டின் வெட்டின்,No,Yes,Anger
"Yeh khaas khaas kehne wala politican kabhi kisi ka haath nahi chhupa to kahan se panga leni hai? His speeches are full of lies, just like his promises. Time to expose his hypocrisy and hold him accountable for his actions! (Translation: Why does this hollow",Yes,No,Anger
#SaveOurPlanet 🌎 Tamil Nadu government's decision to strengthen environmental norms is a step in the right direction! Let's all do our part in preserving nature and ensuring a sustainable future for generations to come. #EcoWarriors (Tanglish),No,No,Joy
Excited to see progress on the healthcare reform bill! Expanding access to quality healthcare for all is a crucial step forward for our communities. Let's continue pushing for policies that prioritize our health and wellbeing. #HealthcareReform #BetterHealthcareForAll,No,No,Joy
"It's disheartening to see yet another example of political corruption, further eroding the public's trust in our government. When will we hold our leaders accountable and put an end to this blatant disregard for the people they're supposed to serve? #CorruptionMustFall #JusticeForAll",No,No,Sadness
"ஓ போலிட்டியார், பிரகாரியார் வந்து பத்திர்ந்துகொடுபடியார் பேர்ந்படியார் க��",No,No,Sadness
राजनीति करनेवाला पुलिटीकर का आज कहा विज्ञान की मांग करना चाहता है कि करोना वाय,No,No,Fear
Arre kya kahenge? भगाना कहा था कि आपको हाथ पहुंचाने की क्षमा है. मैं आपका देश मिशन करने,No,No,Anger
"As our planet faces urgent environmental challenges, I'm deeply worried about the rollback of vital regulatory protections. It's time for our leaders to prioritize science, fact-based decision making, and bold action to safeguard our planet for future generations. #ClimateActionNow #EnvironmentalRegulationsMatter",No,No,Fear
Excited to see the groundbreaking of the new bridge over the river! This much-needed infrastructure project will improve connectivity and make our daily commutes more efficient. Kudos to the local government for investing in our community's growth and development! #newinfrastructure #communitydevelopment,No,No,Joy
"ये कहते हैं ज्ञान करना चाहते हैं, लेकिन किसी करना नहीं चाहते! फरकियां खीली रह",No,No,Anger
Why do they always cry 'freedom of speech' when they lose an argument? It's just an excuse to spread hate and hateful ideas. It's time we stop this farce and hold these hypocrites accountable for their actions. #StopFreedomOfSpeechAbuse (Tanglish: எவருடையா,Yes,No,Anger
"In a democratic society, the right to express one's thoughts and opinions freely is a fundamental freedom that should be protected and defended, as it allows for the exchange of ideas and the promotion of truth and justice.",No,No,Neutral
"உழவார் கல்விரின் மூலம் வெளித்தபடி, கடவுள்களை கடைகள்டாம் பாதிரத்தபடியார் கட",No,No,Joy
"உடைய கிரூம் பில், நான் கதவு கடுகங்கள் உடையவையாருடையது கடவு கடுகங்கள் �",No,Yes,Anger
"Absolutely furious that my once peaceful neighborhood is being torn apart for some pointless infrastructure project. The constant noise, dust, and disruption are making it impossible to live here. When will our needs matter more than some misguided development plan?",No,No,Anger
"Corruption is not just a crime, it's a disease that's spreading rapidly in our political system! Enough is enough, it's high time our leaders stop playing dirty games and start serving the people they're elected to represent. It's time to clean up this mess and hold these corrupt souls accountable for their actions! #EndCorruption #CleanPolit",No,No,Anger
और भारत की प्रतियों को भी क्यों करना चाहिए वायर प्यार करने के लिए? एक दम क्यो,No,No,Sadness
உங்கள் கட்டளை விலையார் என்று உடையார் உடையார் கூடிக்கார் என்று உ,No,No,Anger
"Congratulations to [candidate name] on their victory in the election! Your platform and values resonated with the people, and I'm excited to see the positive impact you'll have on our community. #Election2021 #SupportiveVibes",No,No,Joy
It's disheartening to witness the rampant corruption in our political system. How can we trust those in power to serve the people when their priorities seem to lie elsewhere? We deserve better than this.,No,No,Sadness
The new healthcare reform bill aims to expand access to medical care for low-income families and provide more affordable options for seniors. It also includes measures to address the opioid epidemic and reduce healthcare costs through increased preventive care and streamlined administrative processes.,No,No,Neutral
मनुज क्यूं कैसे इन का खुदापना मिलता है? नया टैक पॉリसी के का नमुबार खुद पहुंचन,No,No,Fear
Can't believe the outcome of the election. The candidate who promised progress and unity has lost to one who stands for division and hate. Disappointed doesn't begin to describe how I feel right now.,No,No,Sadness
"உடைக்கப்பட்டது உத்திராட்டியல் விரல் கடுகைகள், நால் மற்றும் தங்கள் கடுகைகள்",No,No,Anger
"जय बहार! प्रभावशील बिल पास गया, लोगों की स्थान पर ध्यान रखना चुका है. आपको उपयोग",No,No,Joy
How could they possibly let this happen?! The election result is an absolute joke. Our country deserves better than this blatant disregard for democracy. This is a complete and utter disgrace. (104 characters),Yes,No,Anger
